date,link,tag,text
2015-05-26T00:03:00Z,49536,"БРИКС,внешняя политика,национальная безопасность","Встреча с представителями государств БРИКС, курирующими вопросы безопасности"
2015-05-26T00:04:00Z,49537,СМИ,Встреча с главным редактором газеты «Комсомольская правда» Владимиром Сунгоркиным
2015-05-27T00:01:00Z,49539,"демография,поддержка предпринимательства",Совещание с членами Правительства
2015-05-27T00:02:00Z,49541,внешняя политика,Президент России примет верительные грамоты у 13 вновь прибывших послов иностранных государств
2015-05-27T00:03:00Z,49542,поддержка предпринимательства,Заседание наблюдательного совета Агентства стратегических инициатив
2015-05-28T00:01:00Z,49543,Вооружённые Силы,Поздравление военнослужащим и ветеранам Пограничной службы ФСБ России с Днём пограничника
2015-05-28T00:02:00Z,49545,"внешняя политика,Азербайджан",Поздравление Президенту Азербайджана с Днём Республики
2015-05-28T00:03:00Z,49546,спорт,Комментарий о ситуации в ФИФА
2015-05-28T00:04:00Z,49547,вузы,Заседание попечительского совета МГУ
2015-05-28T00:05:00Z,49548,"внешняя политика,Австрия,Албания,Литва,Македония,Монако,Саудовская Аравия,Сенегал,Словакия,Филиппины,Эквадор,Эфиопия,Южно-Африканская Республика,Южный Судан",Вручение верительных грамот послами иностранных государств
2015-05-28T00:06:00Z,49550,сельское хозяйство,Встреча с Министром сельского хозяйства Александром Ткачёвым
2015-05-28T00:07:00Z,49551,"внешняя политика,Франция",Встреча с Валери Жискар д'Эстеном
2015-05-29T00:01:00Z,49555,национальная безопасность,Совещание с постоянными членами Совета Безопасности
